tag	n_posts	n_users
lucid	1607	590
school	1550	429
flying	1211	389
family	1032	224
water	944	241
non-lucid	892	212
car	745	243
sex	613	185
fight	544	160
friends	537	208
house	536	202
false awakening	533	221
food	521	152
dream	502	268
music	466	168
driving	457	187
video game	453	88
work	452	111
dild	449	124
wild	413	177
death	405	226
mom	394	132
friend	378	117
dad	374	137
non - lucid	362	46
night	359	115
party	358	186
fighting	332	124
beach	331	163
dog	326	156
forest	323	136
ocean	319	139
home	312	104
bus	308	150
lucid dream	305	141
nightmare	302	204
game	301	107
city	292	122
cat	279	137
mall	279	110
zombies	277	142
dragon	274	91
fire	268	148
girl	265	140
hotel	263	137
bathroom	262	110
brother	262	104
mother	256	78
wife	253	27
train	250	128
weird	244	134
guns	237	120
college	235	82
sister	235	87
flight	233	42
snow	228	130
police	222	119
space	220	108
store	216	90
high school	214	76
animals	214	79
magic	213	119
pool	211	106
computer	206	93
travel	203	60
chase	198	88
dark	194	94
bed	193	85
restaurant	191	98
teacher	190	98
non lucid	189	89
totm	189	56
running	187	104
mirror	186	94
church	185	115
escape	185	79
telekinesis	185	65
vivid	184	126
money	183	103
gun	178	115
video games	177	76
war	175	109
river	173	83
deild	171	73
fragment	167	98
father	167	62
rain	165	106
demon	165	85
phone	164	96
love	164	107
cats	164	80
baby	163	75
fear	163	93
mild	163	39
hospital	158	92
boat	157	94
battle	157	64
minecraft	156	74
movie	155	96
swimming	154	97
harry potter	153	70
children	152	80
aliens	151	92
blood	151	90
lake	149	73
sleep paralysis	149	91
girlfriend	149	66
ghost	145	93
dogs	145	93
castle	145	95
building	145	52
bedroom	140	55
military	140	55
stairs	140	76
woman	140	39
monster	139	92
murder	139	87
reality check	138	69
elevator	136	79
zombie	136	91
darkness	135	70
scary	135	97
desert	134	84
celebrity	132	44
wbtb	132	70
class	131	72
girls	131	69
parents	131	64
television	130	79
fly	130	60
storm	126	72
drugs	126	78
obe	126	47
park	125	80
moon	121	77
mountain	119	73
vampires	119	40
kids	118	71
cave	117	78
competition	117	53
dreams	116	63
anime	114	41
pokemon	113	72
kiss	112	59
clothes	112	55
library	111	72
violence	110	47
toilet	110	50
naked	110	68
alcohol	109	61
white	108	36
lost	108	70
mansion	107	70
kitchen	107	60
fragments	106	69
memorable	106	61
apartment	106	60
ssild	105	23
airport	105	72
falling	105	63
time travel	105	65
island	105	67
portal	104	67
dream guide	104	70
alien	103	66
shopping	103	60
demons	103	43
vampire	102	63
truck	102	67
parkour	102	27
mountains	102	52
tree	101	65
ship	101	67
snake	100	66
sword	99	60
strange	99	70
red	99	52
monsters	98	48
cars	98	59
galantamine	98	11
fish	97	66
weapons	97	29
art	97	46
shooting	96	50
airplane	96	53
classroom	96	54
office	95	49
plane	94	63
flood	92	57
bridge	92	58
tornado	92	54
games	92	46
day	92	16
eating	91	44
dreamviews	91	33
university	91	41
bar	91	62
blue	91	48
wtf	91	26
time	90	44
book	90	50
transformation	90	36
classmates	90	27
bike	89	58
old friends	89	35
apocalypse	88	62
pain	88	60
singing	88	57
weed	87	51
climbing	87	37
sky	87	57
trees	87	46
healing	87	28
semi-lucid	87	68
stealing	87	38
shower	86	52
field	86	60
light	86	53
cops	86	46
dancing	85	50
dream journal	85	50
football	85	56
ice	84	55
sea	84	54
race	83	61
future	83	56
street	83	46
void	83	28
phasing	83	19
teleportation	82	48
star wars	82	48
anger	82	46
beer	82	33
old house	82	36
stars	80	49
dream fragment	80	43
room	80	48
bicycle	80	35
wedding	80	49
classmate	80	13
camera	79	43
window	79	48
guitar	79	54
evil	79	59
pizza	77	59
short	77	46
spider	76	59
books	76	36
door	76	49
knife	75	59
prison	75	55
clouds	74	50
vacation	74	51
road	74	44
robot	74	52
birds	74	51
motorcycle	74	52
wings	74	27
animal	73	28
baseball	73	33
danger	73	25
creepy	73	47
supernatural	73	26
basketball	72	41
floating	72	58
black	72	30
shop	71	43
helicopter	71	45
summoning	71	42
bomb	71	59
recall	71	27
shapeshifting	70	24
teleport	70	40
farm	69	32
concert	69	45
people	69	47
tower	69	50
cousin	69	45
child	68	40
garden	68	48
laptop	68	35
kissing	68	32
explosion	68	46
basement	68	48
ghosts	68	46
woods	68	52
man	68	41
bird	67	52
wind	67	39
town	66	43
japan	66	45
horse	66	49
jungle	65	52
cliff	64	42
walking	64	34
warehouse	63	43
boss	63	29
meditation	62	44
dance	62	50
crash	62	49
task of the month	62	30
theater	62	49
grandma	62	34
god	61	50
job	61	46
dream character	61	39
internet	60	41
scared	60	27
hair	60	43
old man	60	38
spaceship	60	42
wolf	60	41
bugs	60	37
green	60	32
maze	60	34
sun	60	43
boy	59	40
highway	59	48
temple	59	34
attack	59	35
christmas	58	47
underground	58	40
camp	58	44
snakes	58	42
cousins	58	21
shoes	58	44
funny	58	48
dreaming	58	36
boyfriend	58	37
japanese	58	26
gym	57	40
dying	57	31
lightning	57	43
band	57	41
lucid dreaming	57	39
fantasy	57	33
hands	56	32
doctor	56	36
combat	56	10
daughter	55	22
test	55	41
museum	55	29
candy	55	44
spiders	54	39
underwater	54	43
youtube	54	36
sleep	54	47
sad	54	39
coffee	54	34
killing	54	37
control	54	50
smoking	54	44
rescue	54	30
crime	54	34
boring	54	21
adventure	53	42
lion	53	35
marriage	53	29
army	53	43
holiday	53	16
grass	52	37
yellow	52	24
flowers	52	39
eyes	52	34
clarity	52	11
garage	52	32
crying	51	35
tunnel	51	40
action	51	26
dinosaur	50	35
batman	50	33
fun	50	40
robots	50	31
dorm	50	20
grocery store	50	31
hill	50	33
journal	49	35
blonde	49	13
fail	49	31
video	49	38
ruins	49	26
royalty	49	14
ufo	48	34
witch	48	36
earthquake	48	31
playground	48	39
hell	48	33
katana	48	11
ice cream	48	37
gold	48	29
birthday	48	42
factory	48	31
nonlucid	48	34
romance	48	32
awesome	48	28
supermarket	47	32
hiding	47	36
teeth	47	40
sand	47	39
subway	47	26
random	47	37
writing	47	28
parking lot	47	32
suicide	47	30
festival	47	34
religion	47	29
anxiety	47	22
possession	47	21
cake	47	39
grandparents	47	29
planet	47	28
cooking	46	35
doctor who	46	22
star trek	46	26
mission	46	21
inception	46	38
neighborhood	46	28
old friend	46	24
winter	45	34
dream control	45	35
dead	45	35
disney	45	21
accident	45	33
angel	45	29
doom	45	12
kid	44	24
glass	44	28
semi lucid	44	39
chocolate	44	39
wolves	44	31
crush	44	28
drunk	44	39
energy	44	30
cold	44	33
gods	44	15
bear	43	38
shark	43	32
van	43	34
giant	43	29
sunset	43	28
hallway	43	26
dragons	43	33
camping	43	33
village	43	30
teachers	43	26
trapped	42	34
theatre	42	20
mum	42	18
casino	42	29
late	42	28
cafeteria	42	31
roller coaster	42	31
epic	42	18
politics	42	26
long	42	34
son	42	19
cabin	41	30
dungeon	41	32
drowning	41	25
arcade	41	26
werewolf	41	29
story	41	18
china	41	29
cartoon	41	31
awareness	41	30
chased	40	24
drinking	40	21
club	40	32
mario	40	32
spirit	40	36
theft	40	26
relatives	40	14
clock	40	31
skyrim	40	24
rpg	40	22
grandmother	40	30
piano	40	30
3rd person	40	11
sunny	40	22
women	40	26
sexual	39	27
powers	39	24
cafe	39	29
ninja	39	29
backyard	39	28
haunted	39	27
creature	39	27
shadow	39	26
creatures	39	27
memory	39	27
sick	39	26
strangers	39	16
volcano	38	33
living room	38	21
fireworks	38	30
soccer	38	28
walmart	38	33
mirrors	38	12
table	38	25
end of the world	38	25
soldiers	38	25
survival	38	24
realistic	38	30
lava	37	28
witches	37	12
wine	37	24
horror	37	30
first lucid dream	37	37
paralysis	37	31
reading	37	22
confusion	37	31
painting	37	23
fence	37	28
taste	37	16
facebook	37	28
odd	37	22
wall	37	27
celebrities	37	19
king	36	31
fishing	36	23
run	36	25
assassin	36	22
shops	36	11
market	36	27
toty	36	16
marijuana	36	30
lights	36	23
movies	36	32
doors	36	25
haunted house	36	28
map	36	30
nap	36	28
medical	36	11
song	36	28
rape	36	32
grandma's house	36	10
treasure	35	27
old lady	35	31
coins	35	25
pirates	35	28
stadium	35	24
trains	35	26
highschool	35	18
little girl	35	19
first lucid	35	35
tv show	35	22
tiger	35	28
text	35	14
jumping	35	27
tattoo	35	24
car crash	35	29
notes	34	23
halloween	34	27
drawing	34	28
porn	34	23
trip	34	29
new york	34	24
swamp	34	28
lucidity	34	33
crowd	34	27
jesus	34	16
wood	34	25
kidnapping	34	27
amusement park	34	26
zelda	33	24
hometown	33	16
exam	33	21
hiking	33	16
horses	33	25
dinosaurs	33	28
tsunami	33	23
slide	33	27
training	33	21
aunt	33	26
portals	33	15
toys	33	23
vehicle	33	17
almost lucid	33	27
cop	33	28
past	33	25
contest	33	25
hug	33	23
puzzle	33	19
spy	33	23
tank	33	21
wild attempt	32	26
medieval	32	27
devil	32	21
caves	32	16
angry	32	27
carnival	32	27
dream recall	32	28
neighbor	32	23
swimming pool	32	25
sleeping	32	28
reflection	32	19
math	31	23
uncle	31	24
bank	31	26
earth	31	26
husband	31	14
futuristic	31	19
beautiful	30	25
destruction	30	21
jeep	30	14
students	30	21
homeless	30	24
childhood	30	21
meeting	30	21
experiment	30	24
spanish	30	23
attic	30	17
radio	30	28
bookstore	30	22
swords	30	21
spirits	30	15
cheating	30	26
power	30	23
melatonin	30	18
running away	30	22
being chased	30	13
thief	30	20
argument	30	27
pregnant	30	20
middle school	30	15
lab	30	14
sharks	29	24
killer	29	23
rocks	29	27
dream characters	29	23
couch	29	25
lord of the rings	29	18
sports	29	25
cookies	29	25
bees	29	24
gaming	29	12
show	29	22
rock	29	23
spinning	29	23
shared dream	29	21
ex girlfriend	29	10
pyramid	29	21
queen	29	26
dream sign	29	20
bully	29	22
deja vu	29	20
crazy	29	27
jump	29	24
nature	28	17
zombie apocalypse	28	18
gang	28	19
monkey	28	23
levitation	28	24
jail	28	25
gas station	28	25
puppy	28	22
wizard	28	20
exploration	28	13
roof	28	18
traveling	28	17
explosions	28	19
ride	28	18
stage	28	20
security	28	19
cage	28	21
smoke	28	24
hogwarts	28	20
houses	28	24
orange	28	22
halo	28	24
torture	28	25
martial arts	28	17
road trip	28	22
technology	27	18
robbery	27	24
chicken	27	22
weapon	27	17
waterfall	27	24
play	27	24
matrix	27	23
sadness	27	21
grandpa	27	25
poison	27	20
skyscraper	27	18
africa	27	22
purple	27	21
cards	27	15
cell phone	27	22
astral projection	27	21
vivid dream	27	26
panic	27	25
metal	27	20
abandoned	27	21
nudity	27	13
english	27	13
drive	27	18
elephant	27	23
mars	27	17
vibrations	27	16
kitten	27	18
machine	27	24
childhood home	27	10
asian	26	19
ladder	26	18
hero	26	23
kill	26	22
astral	26	12
lunch	26	19
film	26	20
gas	26	24
construction	26	18
babies	26	24
funeral	26	25
government	26	24
angels	26	20
california	26	17
colors	26	25
egypt	26	25
superpowers	26	19
goals	26	22
path	26	18
plants	26	21
train station	26	18
court	26	16
shotgun	26	17
group	26	20
world of warcraft	26	14
co-worker	26	12
naruto	25	21
numbers	25	21
aquarium	25	21
waves	25	21
guards	25	17
daytime	25	10
pond	25	20
golf	25	19
dinner	25	24
moving	25	23
pirate	25	20
happy	25	22
clothing	25	17
kittens	25	17
racing	25	23
buildings	25	20
flirting	25	18
theme park	25	20
telepathy	25	22
fog	25	22
journey	25	17
insect	25	18
shot	24	15
water park	24	21
breasts	24	10
glasses	24	22
annoying	24	21
stranger	24	20
undead	24	14
wow	24	14
videogames	24	11
invasion	24	11
investigation	24	15
morning	24	16
outer space	24	14
language	24	12
dream within a dream	24	23
lego	24	21
autumn	24	10
underwear	24	18
psychic	24	15
jogging	24	16
weather	24	18
confused	24	22
grey	24	15
princess	24	20
closet	23	17
heaven	23	18
ball	23	20
superman	23	22
alarm	23	21
fall	23	18
avatar	23	22
keys	23	22
boats	23	21
mud	23	19
shared	23	15
high	23	15
couple	23	19
eggs	23	20
gravity	23	23
my house	23	17
emotional	23	21
grandfather	23	18
nude	23	16
electricity	23	17
glitch	23	10
barn	23	21
bullies	23	11
twins	23	18
skeleton	23	19
arena	23	19
lady	23	16
mexico	23	16
shopping mall	23	13
windows	23	19
fps	22	10
emotions	22	18
thugs	22	14
worms	22	22
cleaning	22	19
paper	22	17
surgery	22	21
talking	22	19
search	22	17
school bus	22	17
auditorium	22	17
turtle	22	19
videogame	22	15
trailer	22	17
mask	22	16
cigarettes	22	16
pets	22	19
vision	22	22
movie theater	22	21
gore	22	20
traffic	22	19
embarrassment	22	13
hole	22	20
team	22	13
mafia	22	15
planets	22	17
teleporting	22	20
ipod	22	18
boxing	22	12
victorian	22	12
ants	22	17
fingers	22	16
fair	22	14
sisters	21	15
field trip	21	15
mcdonalds	21	18
detective	21	18
hunting	21	19
soldier	21	16
pee	21	17
doll	21	16
india	21	15
elementary school	21	18
london	21	15
simpsons	21	15
mystery	21	20
balcony	21	19
box	21	21
fox	21	15
wrestling	21	13
obama	21	18
america	21	11
blond	21	11
cliffs	21	14
conversation	21	16
memories	21	15
rabbit	21	20
tea	21	17
cool	21	16
amazing	21	19
science	21	18
dress	21	18
photos	21	11
tent	21	14
bowling	21	13
depression	21	14
virus	21	16
resort	21	16
brain	21	19
palace	21	14
super powers	21	14
italy	21	17
french	21	20
cult	21	17
rocket	21	12
dimension	21	19
bunker	21	12
pictures	21	18
emotion	21	13
space ship	20	16
